Source, Destination, Number
1184710477,1548387418,55
1548387418,1326047754,62
1548387418,1598971913,24
1548387418,1558430330,254
1548387418,1154308633,74
1548387418,1942276605,76
1548387418,1659412336,5643
1902898455,1548387418,41
1548387418,1861490005,76
1730260035,1548387418,57
1033190681,1548387418,15
1679678767,1548387418,132
1710982798,1548387418,114
1548387418,1538144423,68
1548387418,1760494074,20
1548387418,1407855356,26
1548387418,1972683308,320
1548387418,1538122296,81
1699880898,1548387418,27
1548387418,1003804428,359
1407956691,1548387418,67
1548387418,1760682363,31
1659382901,1548387418,118
1821179821,1548387418,64
1548387418,1689998114,14
1194926741,1548387418,32
1588835326,1548387418,1912
1497772099,1548387418,66
1548387418,1003858143,70
1548387418,1952386435,40
1548387418,1326085986,61
1548387418,1962623660,15
1073508164,1548387418,131
1548387418,1497982987,6637
